comentarios,sentimentos
Jogo incrível,Negativo
"Decepcionante, esperava mais",Positivo
Jogo incrível,Positivo
"Fantástico, que jogo sensacional",Positivo
"Ótima estratégia, jogaram muito bem",Positivo
O árbitro foi injusto,Negativo
Jogo incrível,Positivo
"Fantástico, que jogo sensacional",Negativo
"Horrível, não jogaram nada",Negativo
Péssima atuação do goleiro,Negativo
"Fantástico, que jogo sensacional",Positivo
Péssima atuação do goleiro,Positivo
"Ótima estratégia, jogaram muito bem",Negativo
"Excelente jogo, muito emocionante",Negativo
"Excelente jogo, muito emocionante",Negativo
Jogo incrível,Positivo
"Horrível, não jogaram nada",Positivo
"Fantástico, que jogo sensacional",Negativo
"Partida entediante, podia ser melhor",Positivo
"Muito bom, grande vitória",Negativo
O árbitro foi injusto,Positivo
O árbitro foi injusto,Negativo
"Excelente jogo, muito emocionante",Negativo
"Muito bom, grande vitória",Negativo
"Muito bom, grande vitória",Negativo
O árbitro foi injusto,Positivo
Péssima atuação do goleiro,Positivo
"Decepcionante, esperava mais",Positivo
"Fantástico, que jogo sensacional",Negativo
"Muito bom, grande vitória",Positivo
Jogo incrível,Negativo
"Ótima estratégia, jogaram muito bem",Positivo
"Horrível, não jogaram nada",Negativo
o time está de parabéns,Negativo
"Excelente jogo, muito emocionante",Negativo
"Horrível, não jogaram nada",Negativo
"Fantástico, que jogo sensacional",Positivo
"Ótima estratégia, jogaram muito bem",Negativo
"Partida entediante, podia ser melhor",Positivo
Péssima atuação do goleiro,Negativo
"Excelente jogo, muito emocionante",Positivo
"Muito bom, grande vitória",Positivo
"Decepcionante, esperava mais",Negativo
O árbitro foi injusto,Negativo
"Horrível, não jogaram nada",Negativo
"Ótima estratégia, jogaram muito bem",Negativo
"Horrível, não jogaram nada",Positivo
O árbitro foi injusto,Negativo
Péssima atuação do goleiro,Negativo
"Horrível, não jogaram nada",Negativo
"Horrível, não jogaram nada",Negativo
"Horrível, não jogaram nada",Positivo
"Horrível, não jogaram nada",Negativo
O árbitro foi injusto,Positivo
"Partida entediante, podia ser melhor",Negativo
O árbitro foi injusto,Positivo
"Decepcionante, esperava mais",Negativo
"Excelente jogo, muito emocionante",Positivo
"Ótima estratégia, jogaram muito bem",Negativo
"Horrível, não jogaram nada",Positivo
O árbitro foi injusto,Negativo
"Ótima estratégia, jogaram muito bem",Positivo
o time está de parabéns,Positivo
"Horrível, não jogaram nada",Negativo
"Muito bom, grande vitória",Negativo
O árbitro foi injusto,Negativo
"Decepcionante, esperava mais",Positivo
Péssima atuação do goleiro,Negativo
"Excelente jogo, muito emocionante",Positivo
"Ótima estratégia, jogaram muito bem",Positivo
"Muito bom, grande vitória",Positivo
"Excelente jogo, muito emocionante",Negativo
"Excelente jogo, muito emocionante",Negativo
"Fantástico, que jogo sensacional",Positivo
"Muito bom, grande vitória",Positivo
"Muito bom, grande vitória",Positivo
Péssima atuação do goleiro,Positivo
Péssima atuação do goleiro,Positivo
"Partida entediante, podia ser melhor",Negativo
O árbitro foi injusto,Positivo
Péssima atuação do goleiro,Negativo
"Partida entediante, podia ser melhor",Positivo
"Decepcionante, esperava mais",Positivo
Péssima atuação do goleiro,Negativo
O árbitro foi injusto,Positivo
"Partida entediante, podia ser melhor",Negativo
O árbitro foi injusto,Positivo
o time está de parabéns,Negativo
O árbitro foi injusto,Positivo
"Fantástico, que jogo sensacional",Positivo
o time está de parabéns,Positivo
"Excelente jogo, muito emocionante",Negativo
"Decepcionante, esperava mais",Positivo
"Decepcionante, esperava mais",Positivo
O árbitro foi injusto,Negativo
"Decepcionante, esperava mais",Positivo
"Muito bom, grande vitória",Negativo
"Ótima estratégia, jogaram muito bem",Positivo
o time está de parabéns,Positivo
o time está de parabéns,Negativo
